	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene																															
LMAN2.2	2.02E-41	-0.508694687	0.101	0.367	7.80E-37	mQuiescDC	LMAN2																															
SCAND1	1.81E-64	-0.512369235	0.051	0.398	7.00E-60	Neutrophils	SCAND1																															
SF3B1	2.74E-58	-0.512480065	0.042	0.359	1.06E-53	Neutrophils	SF3B1																															
ISCU	3.15E-63	-0.513319832	0.051	0.393	1.22E-58	Neutrophils	ISCU																															
EIF2S2.2	4.69E-60	-0.514458181	0.043	0.368	1.81E-55	Neutrophils	EIF2S2																															
LIMD2.25	4.06E-43	-0.516439046	0.038	0.29	1.57E-38	Neutrophils	LIMD2																															
IFI6.4	1.19E-32	-0.516572691	0.107	0.357	4.61E-28	Neutrophils	IFI6																															
EIF4G1	4.57E-46	-0.516736793	0.022	0.273	1.77E-41	Neutrophils	EIF4G1																															
PRRC2C.1	5.48E-44	-0.517139258	0.145	0.434	2.12E-39	mQuiescDC	PRRC2C																															
NDUFA4.1	5.94E-33	-0.518037351	0.346	0.639	2.30E-28	mQuiescDC	NDUFA4																															
MRFAP1	7.42E-57	-0.518106141	0.028	0.328	2.87E-52	Neutrophils	MRFAP1																															
CD37.33	5.62E-08	-0.518785278	0.562	0.302	0.002171648	AXL_DC	CD37																															
CANX.5	5.74E-70	-0.521962721	0.048	0.413	2.22E-65	Neutrophils	CANX																															
LSP1.21	2.59E-16	-0.523056369	0.608	0.335	1.00E-11	IgG immature	LSP1																															
PPIG	1.07E-58	-0.523655154	0.032	0.342	4.12E-54	Neutrophils	PPIG																															
SNU13.2	5.63E-76	-0.524679604	0.064	0.463	2.18E-71	Neutrophils	SNU13																															
CALM2.2	7.75E-66	-0.525139091	0.19	0.65	2.99E-61	Neutrophils	CALM2																															
TIMM8B.3	2.63E-52	-0.525465238	0.033	0.319	1.02E-47	Neutrophils	TIMM8B																															
RPN2.5	1.25E-38	-0.526524533	0.107	0.36	4.83E-34	mQuiescDC	RPN2																															
SF3B1.1	5.86E-40	-0.526636882	0.104	0.359	2.26E-35	mQuiescDC	SF3B1																															
EZR.4	2.31E-45	-0.528016784	0.045	0.312	8.91E-41	Neutrophils	EZR																															
TERF2IP.1	4.02E-52	-0.528361084	0.028	0.308	1.55E-47	Neutrophils	TERF2IP																															
RSL24D1	4.73E-58	-0.528719978	0.039	0.352	1.83E-53	Neutrophils	RSL24D1																															
HNRNPD.3	9.59E-47	-0.52928004	0.02	0.272	3.71E-42	Neutrophils	HNRNPD																															
PSMD7.2	1.18E-50	-0.530619984	0.023	0.294	4.56E-46	Neutrophils	PSMD7																															
PPIB.2	5.26E-36	-0.530646577	0.318	0.613	2.03E-31	mQuiescDC	PPIB																															
HAX1.1	2.45E-54	-0.530667118	0.022	0.307	9.47E-50	Neutrophils	HAX1																															
PCNP.1	7.70E-51	-0.53108752	0.022	0.292	2.98E-46	Neutrophils	PCNP																															
FAM162A	1.27E-48	-0.53225535	0.026	0.292	4.91E-44	Neutrophils	FAM162A																															
SEC11A.3	2.88E-69	-0.532314553	0.052	0.418	1.11E-64	Neutrophils	SEC11A																															
MPHOSPH8	1.01E-54	-0.535862855	0.022	0.307	3.91E-50	Neutrophils	MPHOSPH8																															
SPCS2.5	5.68E-47	-0.53697588	0.121	0.415	2.20E-42	mQuiescDC	SPCS2																															
SERPINA1.1	3.10E-177	-0.537097121	0.593	0.213	1.20E-172	Inflam Mac	SERPINA1																															
SF1	4.13E-40	-0.538751187	0.123	0.395	1.60E-35	mQuiescDC	SF1																															
FAAP20	2.17E-49	-0.538782721	0.019	0.281	8.40E-45	Neutrophils	FAAP20																															
TAF1D.1	5.00E-49	-0.539219312	0.025	0.291	1.93E-44	Neutrophils	TAF1D																															
RAC2.28	6.19E-08	-0.540935351	0.571	0.316	0.002393455	AXL_DC	RAC2																															
SF3B5.2	2.80E-64	-0.541711459	0.048	0.393	1.08E-59	Neutrophils	SF3B5																															
GPI	2.00E-53	-0.541960404	0.029	0.316	7.72E-49	Neutrophils	GPI																															
HNRNPA2B1.2	2.42E-74	-0.544112392	0.191	0.676	9.37E-70	Neutrophils	HNRNPA2B1																															
SRSF11.1	2.50E-45	-0.54732391	0.12	0.405	9.67E-41	mQuiescDC	SRSF11																															
BCAP31.2	1.93E-67	-0.547430519	0.049	0.406	7.44E-63	Neutrophils	BCAP31																															
SF3B2	5.62E-68	-0.547527262	0.041	0.392	2.17E-63	Neutrophils	SF3B2																															
ACTN4.1	8.01E-41	-0.549295002	0.08	0.337	3.10E-36	mQuiescDC	ACTN4																															
SPCS2.4	1.07E-67	-0.549311662	0.054	0.415	4.13E-63	Neutrophils	SPCS2																															
PNN.1	1.47E-47	-0.549415537	0.026	0.287	5.70E-43	Neutrophils	PNN																															
UBE2L3.3	5.63E-58	-0.549423256	0.028	0.332	2.18E-53	Neutrophils	UBE2L3																															
BAX.5	2.13E-55	-0.553000333	0.032	0.329	8.25E-51	Neutrophils	BAX																															
NDFIP1.1	3.86E-41	-0.553739187	0.098	0.354	1.49E-36	mQuiescDC	NDFIP1																															
PLP2.2	9.00E-51	-0.554369105	0.062	0.365	3.48E-46	Neutrophils	PLP2																															
TRA2B.2	8.20E-55	-0.556872108	0.029	0.322	3.17E-50	Neutrophils	TRA2B																															
SBDS	7.46E-49	-0.559995206	0.029	0.297	2.88E-44	Neutrophils	SBDS																															
SFPQ.1	4.21E-41	-0.56040826	0.096	0.355	1.63E-36	mQuiescDC	SFPQ																															
PSMB4	1.41E-51	-0.564494775	0.02	0.293	5.47E-47	Neutrophils	PSMB4																															
MFF	1.44E-48	-0.566596336	0.012	0.264	5.56E-44	Neutrophils	MFF																															
BRD2	5.22E-42	-0.566982752	0.092	0.35	2.02E-37	mQuiescDC	BRD2																															
LSM3.3	2.55E-59	-0.568333126	0.026	0.333	9.87E-55	Neutrophils	LSM3																															
SUB1	1.14E-79	-0.568595786	0.133	0.598	4.40E-75	Neutrophils	SUB1																															
HLA-DRA.1	0	-0.568738352	0.709	0.356	0	Prolif T	HLA-DRA																															
PGAM1.3	4.70E-59	-0.569497743	0.068	0.409	1.82E-54	Neutrophils	PGAM1																															
SRRM1.1	2.28E-65	-0.571377005	0.039	0.38	8.83E-61	Neutrophils	SRRM1																															
GTF2A2.2	3.17E-57	-0.571524019	0.026	0.325	1.23E-52	Neutrophils	GTF2A2																															
EMC4	1.13E-52	-0.571542025	0.02	0.297	4.38E-48	Neutrophils	EMC4																															
SEC13.1	9.33E-48	-0.571995994	0.017	0.271	3.61E-43	Neutrophils	SEC13																															
TUBA1A.4	1.72E-41	-0.572563712	0.077	0.348	6.65E-37	Neutrophils	TUBA1A																															
ARPC1B.13	2.00E-58	-0.573628019	0.075	0.42	7.75E-54	Neutrophils	ARPC1B																															
RAD21.2	2.60E-50	-0.578942084	0.035	0.314	1.00E-45	Neutrophils	RAD21																															
BCAP31.3	1.03E-40	-0.57916926	0.136	0.406	3.98E-36	mQuiescDC	BCAP31																															
SRRM2	1.05E-62	-0.579597387	0.042	0.376	4.05E-58	Neutrophils	SRRM2																															
POLR2G.1	1.84E-49	-0.579652844	0.016	0.276	7.10E-45	Neutrophils	POLR2G																															
ATOX1.16	1.42E-57	-0.579759168	0.059	0.387	5.50E-53	Neutrophils	ATOX1																															
CLPP	1.20E-48	-0.581833105	0.01	0.262	4.65E-44	Neutrophils	CLPP																															
UBE2I.2	2.41E-71	-0.583163196	0.042	0.408	9.30E-67	Neutrophils	UBE2I																															
OXA1L	5.23E-50	-0.583658211	0.012	0.27	2.02E-45	Neutrophils	OXA1L																															
NDUFA6.1	4.42E-62	-0.583987074	0.048	0.384	1.71E-57	Neutrophils	NDUFA6																															
POLR2K	7.03E-56	-0.584128463	0.033	0.334	2.72E-51	Neutrophils	POLR2K																															
NDUFB6.1	1.54E-55	-0.585172133	0.026	0.319	5.96E-51	Neutrophils	NDUFB6																															
COX7B.2	1.07E-74	-0.586869866	0.086	0.495	4.15E-70	Neutrophils	COX7B																															
PDCD6.1	5.66E-65	-0.588337583	0.036	0.374	2.19E-60	Neutrophils	PDCD6																															
HLA-DRA	0	-0.588466186	0.631	0.352	0	CD8+ TEX	HLA-DRA																															
MTCH1	1.79E-50	-0.592155304	0.023	0.294	6.93E-46	Neutrophils	MTCH1																															
SKP1	1.51E-84	-0.595523343	0.114	0.58	5.86E-80	Neutrophils	SKP1																															
G3BP1.1	1.39E-47	-0.595714749	0.013	0.263	5.36E-43	Neutrophils	G3BP1																															
PDAP1	2.90E-56	-0.596072203	0.026	0.322	1.12E-51	Neutrophils	PDAP1																															
RPN1.1	2.24E-57	-0.600381332	0.035	0.343	8.66E-53	Neutrophils	RPN1																															
NDFIP1	6.07E-60	-0.600888985	0.036	0.354	2.35E-55	Neutrophils	NDFIP1																															
MRPL55.1	2.59E-48	-0.601033254	0.014	0.269	1.00E-43	Neutrophils	MRPL55																															
HM13.3	1.24E-41	-0.601140545	0.079	0.333	4.80E-37	mQuiescDC	HM13																															
MTDH.10	3.96E-47	-0.60216739	0.155	0.467	1.53E-42	mQuiescDC	MTDH																															
SSNA1	1.40E-54	-0.603067673	0.02	0.304	5.41E-50	Neutrophils	SSNA1																															
RBIS	2.50E-47	-0.603895705	0.029	0.291	9.65E-43	Neutrophils	RBIS																															
ATP5MPL.3	2.33E-83	-0.604031606	0.084	0.522	8.99E-79	Neutrophils	ATP5MPL																															
SRSF10.2	3.13E-57	-0.605421013	0.022	0.318	1.21E-52	Neutrophils	SRSF10																															
PSMA3.1	2.28E-49	-0.607185648	0.025	0.292	8.82E-45	Neutrophils	PSMA3																															
ARHGDIB.33	3.39E-47	-0.607768528	0.138	0.466	1.31E-42	Neutrophils	ARHGDIB																															
TXN2.1	2.08E-49	-0.607902434	0.01	0.265	8.05E-45	Neutrophils	TXN2																															
OTUB1	2.52E-53	-0.609322173	0.017	0.294	9.75E-49	Neutrophils	OTUB1																															
PRMT1.1	2.74E-50	-0.60995394	0.016	0.279	1.06E-45	Neutrophils	PRMT1																															
HNRNPM.2	3.28E-62	-0.61061654	0.032	0.356	1.27E-57	Neutrophils	HNRNPM																															
GOLGA4	3.22E-49	-0.611246361	0.013	0.269	1.25E-44	Neutrophils	GOLGA4																															
DEK.6	8.91E-64	-0.611471787	0.043	0.381	3.44E-59	Neutrophils	DEK																															
SRP9.1	2.15E-43	-0.613154628	0.162	0.453	8.30E-39	mQuiescDC	SRP9																															
SAT2	9.33E-47	-0.614792355	0.019	0.27	3.61E-42	Neutrophils	SAT2																															
MZT2A.3	1.95E-47	-0.615604479	0.022	0.278	7.54E-43	Neutrophils	MZT2A																															
IMP3	6.84E-51	-0.617613415	0.016	0.282	2.64E-46	Neutrophils	IMP3																															
TMED10.1	1.43E-66	-0.618353428	0.046	0.398	5.53E-62	Neutrophils	TMED10																															
SERF2	3.38E-55	-0.618490168	0.407	0.852	1.31E-50	Neutrophils	SERF2																															
DAD1.1	4.55E-52	-0.620412995	0.166	0.486	1.76E-47	mQuiescDC	DAD1																															
PUF60	8.97E-53	-0.621369525	0.02	0.297	3.47E-48	Neutrophils	PUF60																															
ANXA7	1.40E-49	-0.622407404	0.013	0.271	5.40E-45	Neutrophils	ANXA7																															
LSM7.3	3.52E-43	-0.622515813	0.146	0.434	1.36E-38	mQuiescDC	LSM7																															
ID2.19	6.29E-42	-0.622971048	0.048	0.301	2.43E-37	Neutrophils	ID2																															
RNPS1	2.72E-60	-0.623855288	0.028	0.34	1.05E-55	Neutrophils	RNPS1																															
IGHG1.2	0	-0.625375781	0.425	0.105	0	Breg	IGHG1																															
PTPRC.25	1.04E-36	-0.626064534	0.626	0.319	4.01E-32	LAM2	PTPRC																															
RRBP1.4	2.65E-49	-0.627425056	0.017	0.278	1.03E-44	Neutrophils	RRBP1																															
SLTM.1	3.91E-47	-0.627524747	0.016	0.266	1.51E-42	Neutrophils	SLTM																															
RGS1.10	1.56E-13	-0.62949655	0.487	0.236	6.04E-09	Plasmablast	RGS1																															
PRDX3.2	4.57E-57	-0.629790761	0.023	0.32	1.77E-52	Neutrophils	PRDX3																															
DDX24.1	1.89E-42	-0.631021954	0.114	0.383	7.30E-38	mQuiescDC	DDX24																															
ACADVL	6.02E-52	-0.631055217	0.022	0.296	2.33E-47	Neutrophils	ACADVL																															
HNRNPUL1.1	2.88E-54	-0.632639259	0.013	0.29	1.11E-49	Neutrophils	HNRNPUL1																															
UXT.2	4.47E-70	-0.63264659	0.043	0.404	1.73E-65	Neutrophils	UXT																															
TPR	4.31E-46	-0.632901551	0.067	0.331	1.67E-41	mQuiescDC	TPR																															
RNF7.1	2.85E-68	-0.633443838	0.038	0.388	1.10E-63	Neutrophils	RNF7																															
UBE2D2.2	3.59E-75	-0.633890697	0.051	0.435	1.39E-70	Neutrophils	UBE2D2																															
OCIAD1	7.55E-60	-0.635626144	0.025	0.333	2.92E-55	Neutrophils	OCIAD1																															
C19orf53	2.17E-80	-0.638180952	0.075	0.497	8.40E-76	Neutrophils	C19orf53																															
STMP1	4.53E-61	-0.638878879	0.036	0.359	1.75E-56	Neutrophils	STMP1																															
TMEM160.2	4.52E-49	-0.639082625	0.012	0.266	1.75E-44	Neutrophils	TMEM160																															
PSMB1.1	1.39E-75	-0.639086027	0.074	0.479	5.36E-71	Neutrophils	PSMB1																															
KHDRBS1.2	7.11E-61	-0.640651641	0.023	0.334	2.75E-56	Neutrophils	KHDRBS1																															
SHISA5	3.39E-43	-0.640908816	0.064	0.317	1.31E-38	mQuiescDC	SHISA5																															
SURF4	4.68E-49	-0.641107296	0.012	0.266	1.81E-44	Neutrophils	SURF4																															
KLF6.13	1.51E-41	-0.641473195	0.164	0.454	5.85E-37	mQuiescDC	KLF6																															
NDUFB7.1	5.12E-49	-0.641592772	0.15	0.455	1.98E-44	mQuiescDC	NDUFB7																															
LMAN2.1	1.58E-65	-0.642203498	0.032	0.367	6.13E-61	Neutrophils	LMAN2																															
PDIA6.4	1.52E-42	-0.643289935	0.136	0.416	5.88E-38	mQuiescDC	PDIA6																															
EEF1D	9.42E-63	-0.643636877	0.297	0.783	3.64E-58	Neutrophils	EEF1D																															
TM9SF2	3.75E-48	-0.644260671	0.013	0.265	1.45E-43	Neutrophils	TM9SF2																															
HLA-E.21	4.81E-35	-0.645163485	0.35	0.634	1.86E-30	mQuiescDC	HLA-E																															
COX14.1	8.78E-60	-0.646759773	0.025	0.333	3.40E-55	Neutrophils	COX14																															
PPIG.1	5.08E-42	-0.647353198	0.085	0.342	1.97E-37	mQuiescDC	PPIG																															
EMC10	1.62E-49	-0.650192904	0.006	0.257	6.25E-45	Neutrophils	EMC10																															
PRRC2C	7.90E-76	-0.650437548	0.049	0.434	3.05E-71	Neutrophils	PRRC2C																															
U2SURP	2.15E-52	-0.650546167	0.012	0.28	8.31E-48	Neutrophils	U2SURP																															
SDF2L1.7	1.46E-47	-0.651447186	0.014	0.265	5.64E-43	Neutrophils	SDF2L1																															
HP1BP3.2	5.54E-44	-0.653555432	0.077	0.337	2.14E-39	mQuiescDC	HP1BP3																															
RBM39.1	5.80E-81	-0.653829543	0.055	0.463	2.24E-76	Neutrophils	RBM39																															
PKM.8	7.88E-69	-0.654195521	0.133	0.554	3.05E-64	Neutrophils	PKM																															
ANAPC5.1	2.28E-50	-0.655122487	0.012	0.271	8.80E-46	Neutrophils	ANAPC5																															
FKBP2.4	2.22E-66	-0.655663927	0.039	0.384	8.58E-62	Neutrophils	FKBP2																															
PSME2.6	2.21E-78	-0.655885547	0.078	0.496	8.56E-74	Neutrophils	PSME2																															
MT-ND4	3.66E-48	-0.656624887	0.533	0.899	1.41E-43	Neutrophils	MT-ND4																															
DDX46	4.20E-55	-0.656789657	0.016	0.298	1.63E-50	Neutrophils	DDX46																															
MRPL52.2	4.45E-65	-0.657679172	0.025	0.352	1.72E-60	Neutrophils	MRPL52																															
DDX5.2	1.69E-54	-0.658576626	0.286	0.664	6.55E-50	mQuiescDC	DDX5																															
IL32.45	3.47E-21	-0.660077424	0.776	0.432	1.34E-16	mRegDC	IL32																															
FKBP2.5	4.55E-42	-0.661717806	0.115	0.384	1.76E-37	mQuiescDC	FKBP2																															
SSR4.4	1.29E-39	-0.662016941	0.299	0.606	4.98E-35	mQuiescDC	SSR4																															
NDUFS5.2	2.49E-54	-0.662527197	0.223	0.571	9.63E-50	mQuiescDC	NDUFS5																															
NAA38.2	5.48E-61	-0.662616139	0.03	0.347	2.12E-56	Neutrophils	NAA38																															
ATP5PD	2.03E-79	-0.663451787	0.049	0.448	7.86E-75	Neutrophils	ATP5PD																															
BSG.2	1.13E-72	-0.663483303	0.07	0.462	4.35E-68	Neutrophils	BSG																															
NDUFA1	3.33E-86	-0.664235932	0.08	0.523	1.29E-81	Neutrophils	NDUFA1																															
XRCC5.1	2.88E-65	-0.664771031	0.035	0.371	1.11E-60	Neutrophils	XRCC5																															
VCP.1	3.52E-63	-0.665324187	0.028	0.351	1.36E-58	Neutrophils	VCP																															
PNKD	6.25E-54	-0.665738626	0.012	0.286	2.42E-49	Neutrophils	PNKD																															
ALKBH7	4.84E-60	-0.665856592	0.026	0.335	1.87E-55	Neutrophils	ALKBH7																															
OST4	1.11E-96	-0.666861222	0.138	0.662	4.28E-92	Neutrophils	OST4																															
METAP2.1	2.54E-50	-0.669290014	0.01	0.269	9.80E-46	Neutrophils	METAP2																															
PSMA4.4	3.96E-59	-0.670815898	0.03	0.341	1.53E-54	Neutrophils	PSMA4																															
NDUFA13.2	6.71E-51	-0.671854179	0.026	0.3	2.60E-46	Neutrophils	NDUFA13																															
SSB.1	2.15E-57	-0.672778881	0.025	0.323	8.30E-53	Neutrophils	SSB																															
RAB2A.1	2.93E-44	-0.674297602	0.112	0.389	1.13E-39	mQuiescDC	RAB2A																															
NCOR1	1.36E-56	-0.674884988	0.014	0.301	5.26E-52	Neutrophils	NCOR1																															
EIF5A.3	1.81E-64	-0.675734987	0.057	0.408	6.98E-60	Neutrophils	EIF5A																															
EIF6	8.02E-53	-0.676866189	0.023	0.302	3.10E-48	Neutrophils	EIF6																															
PIN1.2	3.06E-53	-0.679025617	0.012	0.283	1.18E-48	Neutrophils	PIN1																															
NORAD	1.39E-48	-0.67912228	0.017	0.275	5.36E-44	Neutrophils	NORAD																															
EIF4H.1	5.33E-57	-0.681903356	0.022	0.316	2.06E-52	Neutrophils	EIF4H																															
LEPROTL1.2	3.66E-49	-0.682823717	0.023	0.288	1.41E-44	Neutrophils	LEPROTL1																															
REEP5	1.29E-71	-0.682827972	0.032	0.388	4.97E-67	Neutrophils	REEP5																															
ARPC5L.3	1.15E-51	-0.685174995	0.02	0.293	4.44E-47	Neutrophils	ARPC5L																															
ATP5MD.1	1.97E-89	-0.685307986	0.078	0.53	7.63E-85	Neutrophils	ATP5MD																															
SRSF2.4	3.26E-72	-0.685559053	0.049	0.421	1.26E-67	Neutrophils	SRSF2																															
GTF2I	1.51E-50	-0.686143805	0.017	0.283	5.85E-46	Neutrophils	GTF2I																															
PEBP1.5	1.73E-35	-0.686980718	0.258	0.538	6.70E-31	mQuiescDC	PEBP1																															
TECR.2	4.12E-46	-0.687472158	0.076	0.346	1.59E-41	mQuiescDC	TECR																															
IFITM2.13	6.21E-41	-0.687649731	0.238	0.533	2.40E-36	mQuiescDC	IFITM2																															
UQCRQ.3	3.86E-41	-0.69064072	0.264	0.565	1.49E-36	mQuiescDC	UQCRQ																															
SEPTIN2	1.83E-47	-0.690706814	0.025	0.283	7.08E-43	Neutrophils	SEPTIN2																															
SEPTIN7.3	1.50E-53	-0.691557499	0.059	0.368	5.78E-49	Neutrophils	SEPTIN7																															
ENY2.1	1.03E-67	-0.692054069	0.045	0.399	3.99E-63	Neutrophils	ENY2																															
NDUFS3	1.07E-50	-0.692707187	0.006	0.262	4.12E-46	Neutrophils	NDUFS3																															
RPL36AL	2.82E-90	-0.694529733	0.165	0.688	1.09E-85	Neutrophils	RPL36AL																															
ADH5	4.29E-49	-0.696947154	0.013	0.269	1.66E-44	Neutrophils	ADH5																															
PSMC5	1.68E-61	-0.699618813	0.025	0.338	6.51E-57	Neutrophils	PSMC5																															
UQCRC2	2.03E-54	-0.700984503	0.014	0.293	7.85E-50	Neutrophils	UQCRC2																															
PYURF	9.67E-68	-0.702562178	0.025	0.361	3.74E-63	Neutrophils	PYURF																															
SNRPD3.1	9.29E-66	-0.703338445	0.032	0.368	3.59E-61	Neutrophils	SNRPD3																															
ATRX	7.52E-60	-0.704281049	0.019	0.322	2.91E-55	Neutrophils	ATRX																															
DUSP23.1	2.79E-47	-0.704839927	0.014	0.264	1.08E-42	Neutrophils	DUSP23																															
MMADHC.1	2.72E-54	-0.708087611	0.01	0.284	1.05E-49	Neutrophils	MMADHC																															
POLR2F	9.54E-58	-0.709119324	0.022	0.32	3.69E-53	Neutrophils	POLR2F																															
SUMO3.4	1.83E-56	-0.709392128	0.019	0.309	7.07E-52	Neutrophils	SUMO3																															
KRT10.1	1.62E-44	-0.711138692	0.077	0.341	6.25E-40	mQuiescDC	KRT10																															
CBX3.3	3.31E-65	-0.714606418	0.046	0.391	1.28E-60	Neutrophils	CBX3																															
PSMF1	1.77E-52	-0.715335733	0.012	0.28	6.84E-48	Neutrophils	PSMF1																															
TMEM230	6.68E-66	-0.715913889	0.028	0.36	2.58E-61	Neutrophils	TMEM230																															
CD52.30	1.36E-06	-0.716490446	0.6	0.338	0.052577725	AXL_DC	CD52																															
SLC25A39.1	7.67E-52	-0.717311366	0.01	0.275	2.97E-47	Neutrophils	SLC25A39																															
FUS.2	2.42E-56	-0.718541145	0.156	0.493	9.36E-52	mQuiescDC	FUS																															
DCTN2	1.47E-51	-0.719059578	0.004	0.262	5.68E-47	Neutrophils	DCTN2																															
JUN.2	1.14E-61	-0.719795875	0.138	0.517	4.41E-57	Neutrophils	JUN																															
COX17.3	1.02E-67	-0.719918824	0.03	0.372	3.96E-63	Neutrophils	COX17																															
SH3BGRL.9	1.73E-65	-0.720138588	0.041	0.383	6.67E-61	Neutrophils	SH3BGRL																															
TIMM13	2.21E-56	-0.720700043	0.025	0.319	8.53E-52	Neutrophils	TIMM13																															
BSG.3	1.51E-47	-0.721178717	0.164	0.462	5.84E-43	mQuiescDC	BSG																															
MACF1	5.20E-51	-0.721745414	0.014	0.279	2.01E-46	Neutrophils	MACF1																															
MRPL34	8.05E-53	-0.722179278	0.009	0.275	3.11E-48	Neutrophils	MRPL34																															
ZNHIT1.1	2.07E-73	-0.722390438	0.038	0.405	8.02E-69	Neutrophils	ZNHIT1																															
CD63.23	5.54E-37	-0.724621715	0.296	0.589	2.14E-32	mQuiescDC	CD63																															
DYNC1H1	1.33E-53	-0.725028854	0.012	0.284	5.14E-49	Neutrophils	DYNC1H1																															
PSMC3.2	2.26E-54	-0.727871935	0.01	0.285	8.76E-50	Neutrophils	PSMC3																															
COX7A2	8.99E-88	-0.728578049	0.125	0.608	3.47E-83	Neutrophils	COX7A2																															
TXNDC17.2	1.45E-60	-0.728987426	0.029	0.342	5.62E-56	Neutrophils	TXNDC17																															
DDX5.1	3.44E-86	-0.729302106	0.165	0.664	1.33E-81	Neutrophils	DDX5																															
POLR1D.2	4.75E-65	-0.729842857	0.019	0.341	1.84E-60	Neutrophils	POLR1D																															
PSMD8.2	2.03E-74	-0.730596211	0.041	0.414	7.85E-70	Neutrophils	PSMD8																															
MRPL43	1.58E-54	-0.730616409	0.006	0.277	6.10E-50	Neutrophils	MRPL43																															
MYDGF.4	2.58E-64	-0.730910387	0.032	0.363	9.98E-60	Neutrophils	MYDGF																															
APH1A	5.86E-61	-0.731482251	0.017	0.324	2.27E-56	Neutrophils	APH1A																															
H2AFJ.1	9.27E-51	-0.732569159	0.03	0.307	3.58E-46	Neutrophils	H2AFJ																															
COX6A1.2	9.09E-86	-0.732858106	0.126	0.601	3.52E-81	Neutrophils	COX6A1																															
ZFP36.18	2.43E-40	-0.733247106	0.181	0.474	9.39E-36	mQuiescDC	ZFP36																															
CIRBP.1	1.69E-90	-0.734459306	0.104	0.577	6.53E-86	Neutrophils	CIRBP																															
ANXA1.20	4.94E-59	-0.734531225	0.07	0.409	1.91E-54	Neutrophils	ANXA1																															
VDAC3.2	1.03E-50	-0.735124424	0.01	0.27	3.99E-46	Neutrophils	VDAC3																															
COX8A.4	6.37E-85	-0.735605409	0.11	0.571	2.46E-80	Neutrophils	COX8A																															
RABAC1.4	9.51E-52	-0.736140966	0.115	0.415	3.68E-47	mQuiescDC	RABAC1																															
NDUFA2.2	3.40E-71	-0.736560296	0.035	0.393	1.31E-66	Neutrophils	NDUFA2																															
COX5B.1	1.16E-93	-0.736770382	0.12	0.619	4.50E-89	Neutrophils	COX5B																															
SYPL1.1	5.58E-49	-0.737370496	0.012	0.266	2.16E-44	Neutrophils	SYPL1																															
SERPINA1.13	7.60E-126	-0.738327667	0.829	0.213	2.94E-121	AXL_DC	SERPINA1																															
DDT.1	9.20E-58	-0.740021067	0.028	0.329	3.56E-53	Neutrophils	DDT																															
ANKRD12	6.08E-51	-0.74448865	0.066	0.346	2.35E-46	mQuiescDC	ANKRD12																															
ARGLU1.1	1.73E-63	-0.74566198	0.029	0.354	6.67E-59	Neutrophils	ARGLU1																															
ARF6.1	1.66E-53	-0.748419859	0.013	0.286	6.42E-49	Neutrophils	ARF6																															
GTF3C6.1	4.15E-54	-0.748567257	0.016	0.294	1.61E-49	Neutrophils	GTF3C6																															
UQCR10.1	6.05E-91	-0.74903476	0.093	0.559	2.34E-86	Neutrophils	UQCR10																															
PSMB2.1	2.60E-64	-0.749161691	0.023	0.346	1.00E-59	Neutrophils	PSMB2																															
ENSA	2.83E-63	-0.749211142	0.028	0.35	1.09E-58	Neutrophils	ENSA																															
SSR3.5	4.94E-68	-0.749588738	0.035	0.381	1.91E-63	Neutrophils	SSR3																															
TMED10.2	5.22E-50	-0.750225263	0.107	0.398	2.02E-45	mQuiescDC	TMED10																															
CARHSP1.3	5.93E-51	-0.750602405	0.013	0.277	2.29E-46	Neutrophils	CARHSP1																															
EIF1AX.1	1.86E-62	-0.75104518	0.025	0.342	7.18E-58	Neutrophils	EIF1AX																															
MRPS15.1	1.24E-50	-0.751244067	0.006	0.261	4.78E-46	Neutrophils	MRPS15																															
WASF2.4	2.65E-61	-0.75187226	0.02	0.329	1.02E-56	Neutrophils	WASF2																															
TTC3.2	4.39E-43	-0.751982078	0.064	0.317	1.70E-38	mQuiescDC	TTC3																															
CCT2.1	2.67E-54	-0.752199331	0.012	0.287	1.03E-49	Neutrophils	CCT2																															
MIF.2	4.36E-30	-0.752461615	0.41	0.682	1.68E-25	mQuiescDC	MIF																															
ERLEC1.4	1.78E-51	-0.752548997	0.003	0.259	6.88E-47	Neutrophils	ERLEC1																															
FIBP.1	8.52E-50	-0.753473347	0.004	0.255	3.29E-45	Neutrophils	FIBP																															
SRSF5.2	1.76E-55	-0.753567734	0.123	0.444	6.79E-51	mQuiescDC	SRSF5																															
PGLS.3	2.39E-65	-0.753665999	0.02	0.345	9.25E-61	Neutrophils	PGLS																															
TRAPPC1.4	9.54E-81	-0.75465221	0.039	0.433	3.69E-76	Neutrophils	TRAPPC1																															
CD74.2	4.29E-54	-0.755898693	0.869	0.617	1.66E-49	CD4+ TH1	CD74																															
DCTN3.1	5.82E-58	-0.757363969	0.01	0.299	2.25E-53	Neutrophils	DCTN3																															
RPL26	9.81E-63	-0.75889118	0.504	0.77	3.79E-58	Inflam Mac	RPL26																															
FBL	5.64E-56	-0.760303986	0.02	0.31	2.18E-51	Neutrophils	FBL																															
ILF3.1	7.56E-55	-0.760503846	0.014	0.294	2.92E-50	Neutrophils	ILF3																															
ANAPC16.2	9.67E-80	-0.760754078	0.049	0.447	3.74E-75	Neutrophils	ANAPC16																															
